Datetime,Tweet Id,Text,Username
2021-10-10 22:55:02+00:00,1447334889708298242,@szhang_ds You are absolutely a whistleblower. Thank you so much for speaking out!,unveil_data
2021-10-10 22:54:22+00:00,1447334723706101761,"Very strange how some “whistleblowers” are treated when they benefit the national security apparatuses to spy on us (Account was just made, 65k+ followers, verified) vs when they expose US war crimes like bombing innocent kids (Daniel Hale and Julian Assange are both locked up) https://t.co/L7ZJ0eFfMR",abolishnato
2021-10-10 22:53:07+00:00,1447334408671809539,Viewers respond to the Facebook whistleblower https://t.co/DnbQ33NIX8 #news #topstories #berkleybearnews,BerkleyBearNews
2021-10-10 22:52:06+00:00,1447334149618946058,"This week we’re picking apart the Facebook Whistleblower case, digging into the archives for a look at tech and social media. The debate: Has Silicon Valley Lost Its Soul?
Here’s the newsletter: https://t.co/nOcSyf5bkf
And here’s the debate: https://t.co/kBoKsdz5lQ
#iq2us #tech",davidariosto
2021-10-10 22:51:34+00:00,1447334015866920960,FAKEBOOKS WHISTLEBLOWER  https://t.co/MfSnjWqsLw,texasmumma
2021-10-10 22:50:33+00:00,1447333761528569861,"In Scathing Senate Testimony, Whistleblower Warns Facebook a Threat to Children and Democracy https://t.co/OVFnFIGfwA",JanetsGoodNews
2021-10-10 22:48:09+00:00,1447333155942379527,"@irishexaminer @ciananbrennan A set up whistleblower sound real and resonate with the most controlled meadia in europe, the irish media. Filtering news, singing to the riches table, following a prepay agenda, exactly what  Facebook its trying to do now.",ed76ie
2021-10-10 22:48:01+00:00,1447333122987679745,"Like whistleblower Frances Haugen, these Facebook employees warned about the company’s problems for years. No one listened (@lizzadwoskin @craigtimberg - @washingtonpost) https://t.co/91FnTWM00m",MediaREDEF
2021-10-10 22:47:52+00:00,1447333084064518149,Nick Clegg avoids questions on whistleblower Haugen’s testimony https://t.co/odPtWsARNl,OurnaijanewsC
2021-10-10 22:47:01+00:00,1447332873946681350,"@_Jrlh_ That so-called whistleblower against Facebook, she's actually saying everything Facebook wants her to say. They want to have an excuse to censure their media even more. Yep",AngieSkys
2021-10-10 22:46:28+00:00,1447332732560871434,SNL’s take on the Facebook whistleblower hearing reminds us of the good old MySpace days https://t.co/hhad7QAqv2,thenewsglobal
2021-10-10 22:45:39+00:00,1447332528868806659,"@nazirafzal They initiated an investigation with the intention of dropping it quickly, so that they would be able to say ""We conducted an investigation."" At some point a police/royal entourage whistleblower will take the inside story of the cover-up to the press.",Oocnan
2021-10-10 22:45:01+00:00,1447332369921462274,"Like whistleblower Frances Haugen, these Facebook employees warned about the company’s problems for years. No one listened (@lizzadwoskin @craigtimberg - @washingtonpost) https://t.co/Ym6TOQiGoV",TechREDEF
2021-10-10 22:44:38+00:00,1447332270294159364,"Part 1: Fake Whistleblower &amp; Push for Global Censorship 
Part 2: Watching A Clip - Digital ID Commercial (Ties into the censorship too) skip to 10:55
Part 3: Another Clip - Great Reset Finally Goes Mainstream skip to 15:45
Part 4: Final Clip - The Technocracy - skip to 20:00",heliodown
2021-10-10 22:44:37+00:00,1447332268507287558,"New Video: We will discuss the new Facebook “whistleblower” &amp; how this is a set up. This video touches on censorship, The Great Reset, The Digital Identity (ID 2020) &amp; manipulation by equating their Orwellian agenda to moral necessities. Check Timestamps https://t.co/8J92l4fIcY",heliodown
2021-10-10 22:42:54+00:00,1447331835365765120,That girl that they said was a whistleblower for Facebook she wasn’t a whistleblower Mark Zuckerberg made her come out and do that because he wants more control so she’s not even a whistleblower she was paid to do that they need to break him up they need to get rid of Facebook,Bradley43082170
2021-10-10 22:41:56+00:00,1447331591915655168,Di na ako nag ffacebook. Dalang na rin ng Twitter at Ig. Ang daming tao na naniniwala sa misinformation. Prang mkatotohanan n yung sinabi ng Fb whistleblower. Sobrang daming misinformation pati friends kinain na ng sistema.🥲,redmyshirt
2021-10-10 22:41:37+00:00,1447331511586406407,@politicswatch15 FAKE WHISTLEBLOWER,Louisecanr
2021-10-10 22:41:23+00:00,1447331455869145088,"Literal CIA interogation tactics on whistleblowers.

Imma die mad at so many people. https://t.co/WqD4gDp8ik",londonbel0w
2021-10-10 22:41:07+00:00,1447331387518988292,Whistleblower Frances Haugen calls Facebook danger to children and democracy - ABC News - https://t.co/v3PzKSO4OD via @ABC,devzquz48
2021-10-10 22:40:22+00:00,1447331198187999240,"Thankful today for the white female whistleblowers. Note: when black women try to tell, we are often looked over, laughed at, or called crazy. #SundayThoughts #butGod #BetheChange #worldmentalhealthday",iamconniespeaks
2021-10-10 22:39:47+00:00,1447331053253890056,@beebah5 That's also a challenge with the dopamine economy. Attention spans are shorter as we seek the next dopamine rush while being sold ads. The Facebook whistleblower summed it up. So we have to fight back with facts data and context.,alobz
2021-10-10 22:39:42+00:00,1447331029748895748,"@JackCSLewis @op_westpapua @caitoz Yours was 'snowden too'. My replies on this thread are in response to the tweet about Julian being the one true  whistleblower. That's not correct. He's a publisher, not a whistleblower. Snowden is a whistleblower, and thanks for adding him to my shortlist.",humanidee
2021-10-10 22:39:17+00:00,1447330924513923082,European politicians call for Facebook investigation after whistleblower revelation | Reuters https://t.co/qQivViG9nt,politicswatch15
2021-10-10 22:38:47+00:00,1447330798898606080,A case study involving some whistleblower situations https://t.co/6rPBJZsY1C,udemyessays
2021-10-10 22:38:14+00:00,1447330661153615874,@TwitterSupport ⁦@jack⁩ I rep whistleblowers charged under #EspionageAct. I support sexual assault survivors. I *know* these are intense subjects. How do I stop the new trigger warnings? 🙋‍♀️ https://t.co/sjLdhwQcZ3,JesselynRadack
2021-10-10 22:37:10+00:00,1447330392428580866,"@JermaineJupiter If media orgs make subjective calls in deciding who they do or don’t call a “whistleblower,” does race factor into those decisions? 

Yes, probably. 

Do socioeconomic factors? Sexual orientation? How about gender &amp; gender identity? 

Yes, probably.

Did that happen here? No idea",Niquelandia
2021-10-10 22:36:51+00:00,1447330311688396802,"@stesfa @UN @DrTedros @MaureenAAchieng @DenniaGayle The racist @UN leadership is trying to go after 2 African female whistleblowers. 
👆🏾👆🏾👆🏾👆🏾
#Africa Africa #Ethiopia #Eritrea Ethiopia Eritrea",butterflywind
2021-10-10 22:36:36+00:00,1447330251080622081,@mgordonap @mattoyeah @adgeller @AP She is NO whistleblower.....,portecrayon
2021-10-10 22:35:15+00:00,1447329908955357185,"After Whistle-Blower Goes Public, Facebook Tries Calming Employees https://t.co/HiyMJjFbhw 
#whistleblower #retaliation",janaune1
